Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
112 -42 -50 -56 -104 -54 -54 -51 -49 -52 32 8 4
112 -43 -48 -57 -97 -54 -54 -50 -49 -54 32 8 4
112 -43 -48 -55 -104 -54 -51 -50 -50 -54 32 8 4
110 -47 -41 -62 -103 -57 -51 -49 -55 -46 34 6 4
110 -47 -41 -62 -103 -57 -51 -49 -55 -46 34 6 4
110 -43 -42 -64 -101 -64 -57 -52 -62 -50 32 6 4
164 -44 -47 -59 -107 -67 -56 -52 -59 -50 37 8 6
164 -44 -48 -58 -108 -70 -56 -49 -60 -50 37 8 6
166 -45 -49 -54 -93 -67 -53 -48 -51 -53 34 10 6
114 -36 -54 -54 -98 -65 -51 -57 -49 -52 36 10 4
114 -36 -54 -56 -93 -64 -50 -59 -50 -54 36 10 4
0 -52 -47 -64 -106 -63 -62 -51 -50 -52 38 0 0
0 -52 -46 -62 -107 -63 -60 -54 -53 -57 39 0 0
220 -58 -40 -80 -109 -55 -61 -54 -66 -48 38 0 12
234 -52 -48 -91 -110 -50 -61 -63 -69 -61 39 2 14
236 -60 -47 -68 -110 -47 -65 -68 -67 -68 25 4 14
194 -51 -44 -72 -102 -63 -64 -58 -60 -45 38 4 8
59 -45 -49 -65 -110 -66 -60 -45 -61 -51 34 7 2
166 -44 -50 -46 -103 -60 -54 -50 -51 -56 34 10 6
167 -40 -51 -54 -80 -68 -51 -50 -53 -54 46 11 6
66 -38 -58 -71 -102 -66 -34 -53 -49 -63 36 14 2
192 -49 -45 -75 -109 -59 -55 -58 -64 -48 37 2 8
4 -47 -51 -65 -108 -65 -62 -52 -61 -49 33 4 0
208 -53 -41 -77 -110 -54 -57 -54 -66 -52 37 0 10
222 -62 -43 -88 -110 -34 -69 -67 -66 -51 28 2 12
224 -54 -45 -82 -110 -44 -66 -58 -65 -60 14 1 12
234 -51 -50 -78 -110 -49 -60 -72 -65 -51 38 3 14
122 -52 -52 -63 -80 -72 -51 -56 -41 -62 41 18 4
128 -59 -67 -70 -85 -80 -54 -61 -57 -74 38 24 4
155 -63 -63 -70 -71 -87 -59 -67 -50 -52 48 25 5
76 -59 -58 -66 -76 -81 -55 -69 -48 -65 19 24 2
166 -36 -52 -50 -93 -58 -51 -57 -57 -52 32 10 6
207 -54 -44 -75 -102 -47 -67 -66 -65 -46 29 5 9
108 -47 -40 -65 -106 -52 -58 -45 -60 -49 36 4 4
110 -48 -48 -66 -101 -56 -54 -44 -53 -48 31 6 4
212 -53 -46 -93 -110 -56 -64 -52 -70 -58 26 4 10110 -49 -42 -65 -91 -110 -110 -110 -110 -110 31
